short_description,category_list
Researches & develops a device for the removal of galectin3 from human blood to cure chronic kidney disease.,"Biotechnology,Health Care"
"American Lubricants provides bulk delivery of Oils and Grease, In House Laboratory Services, Chemical Management.","Chemical,Oil and Gas"
"PROXXI is a company which manufactures wearable, electrical safety device for industrial workers.","Industrial,Internet of Things,Wearables"
"Parco, Inc. manufactures and markets custom molded rubber seals and O-rings in North America.",Chemical
An Education Technology company serving prospective international students and higher education institutions around the world. ,"EdTech,Higher Education,Social Network"
ZenLeap - Talent Marketplace,"Cloud Computing,Consumer Software,Recruiting,Social Recruiting,Software,Staffing Agency"
Quivive Pharma is a  BIO International  copmpamny.,"Biotechnology,Pharmaceutical"
St. Olaf College is a school in Northfield.,
Digital Funk Machine is a developer and co-publisher of both licensed and original IP video game properties,Digital Entertainment
Eco Solution Energie provides photovoltaic solutions for agricultural and industrial.,"Solar,Renewable Energy"
nveloped,"Internet,Messaging"
Mailcard helps you protect your privacy - instead of revealing your personal details you simply hand out a mailcard .,"Information Technology,Security"
Owinda is a search engine that uses editorial curation to deliver accurate results.,Advertising
HEC Incubator aims to become the benchmark for innovation in service activities.,Incubators
Anlongmed Fund is focused on early-stage investments in the life sciences and healthcare-related fields.,Financial Services
"Bitwords Media located in the city of New York is a Web Design and Development,Marketing & Consultancy Company.","Advertising,Consulting,Marketing,Web Design,Web Development"
"Informeida is a digital marketing agency, located in Stuttgart.","Web Design,Consulting,Digital Marketing"
Advantec Global Services Inc. has provided technology solutions to organizations worldwide,"Computer,Information Services,Information Technology"
"Led grow lights for sale ships and 3 year warranty, professional led aquarium lights and grow tent.",E-Commerce
Trriple is a strong mobile platform for providing easy access for sending and receiving mobile payment. ,"Finance,Internet,Mobile,Mobile Payments"
StartVC is focuses on early TMT and mobile internet or high-tech project investment.,"Finance,Financial Services,Venture Capital"
"Manufacture and sell ethnic millet based breakfast cereals, milk supplements, infant foods, dried fruits.","Food and Beverage,Food Processing"
Marketing Automation & Inbound Marketing Agency-SEO Powered,"Advertising,Fashion,Marketing,SEO"
"Sherland & Farrington, Inc is a Flooring contractor in New York City.","Association,Non Profit,Real Estate"
Macty is an AI company that enables the latest technology in computer vision and natural language processing.,"Artificial Intelligence,Natural Language Processing,Software,Computer Vision,Information Technology"
Solar solutions and LED-based illumination devices,"Electronics,Manufacturing,Solar"
The Processor Verification Company,"Information Technology,Software"
WarpSpeed Communications develops and supplies Internet Protocol (IP) solution that provides on-demand broadband connectivity services.,"Internet,Telecommunications"
PulseSwitch Systems is a manufacturer of wireless switches for lights ad small appliances.,"Manufacturing,Wireless"
"Specialized in providing website design and development, Digital Marketing services and app development services for our clients.","Advertising,E-Commerce,Internet,Mobile Apps,Web Design"
Versa is a Chinese-based company that offers an artificial intelligence-based video and photo editing app.,"Apps,Artificial Intelligence,Photo Editing"
H & S Ventures LLC operates as a venture capital firm.,
Family Home Funding is a mortgage banking company.,"Financial Services,Banking"
Zdventure is an adventure discovery platform that helps people find activities and events around them.,"Communities,Event Management,Events,Social Media"
Share your thoughts and unleash your mind.,NULL
Bebig is a preparation and packaging of microsources for brachytherapy using isotope.,"Chemical,Chemical Engineering,Manufacturing"
TRC is dedicated to the development and exploitation of technologies for recycling waste composites.,"Recycling,Service Industry,Waste Management"
"Acme-McCrary is a design company that offers market research, fashion forecasting, and design services.","Consulting,Fashion,Legal,Web Design"
Working internationally to improve coffee quality and the lives of the people who produce it.,Coffee
Help travel companies increase their revenue providing them qualified leads using AI.,"Artificial Intelligence,Data Mining,Developer APIs,Machine Learning,Marketing,Travel"
 BrilliMedical International Corporation,
"Grace/Mayer Insurance Agency, Inc. is a retail insurance broker providing property/casualty.","Insurance,Real Estate"
pracownia-zagle,
"For more than 160 years, Winston & Strawn LLP has served as a trusted adviser and advocate for clients across virtually every industry.","Advice,Association,Communities,Consulting,Law Enforcement,Non Profit"
Kind Consumer is a healthcare research and development company focused on inhalation technologies. ,"Health Care,Medical Device"
description [updating soon] - coming soon project,Career Planning
Techntrack.org is a provider of information about new technologies and ideas around the world.,"iOS,Mobile Apps,Social Network"
Zero Start Ventures (ZSV) offer a breath of fresh air for the new internet & mobile application entrepreneur of today.,"Internet,Mobile,Venture Capital"
Bookmark and discover things you love from all online stores,"E-Commerce,Lifestyle,Online Portals"
"ASRC Energy Services is a provider of regulatory, technical, engineering and operational services for the oil and gas industry.","Energy,Consulting,Oil and Gas"
Business of private investigators and detectives,"CRM,Information Technology"
The Wall Street Journal CEO Council connects the worldäó»s most ambitious and influential business leaders to discuss the issues shaping.,"Association,Non Profit"
Online Sales Tracking Software,Software
Dongguan Dipin Electronics is a professional manufacturer of remote controls.,"Consumer Electronics,Electronics,Manufacturing"
